Codigo_Barras;SKU_Interno;Descripcion;Fabricante;Contenido;Precio_Lista;Descuento_Porc
779100000949;SKU-10948;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2506.05;5.0
779100000950;SKU-10949;GALLO ARROZ LARGO FINO 500 G;Gallo;500 g;1206.84;0.0
779100000951;SKU-10950;MATARAZZO FIDEOS GUISEROS 1000 GR;Matarazzo;1000 gr;1356.07;5.0
779100000952;SKU-10951;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;830.94;10.0
779100000953;SKU-10952;MAROLIO PURE DE TOMATE TETRA 520G;Marolio;Tetra 520g;855.68;0.0
779100000954;SKU-10953;HELLMANNS MAYONESA CLASICA 1000 GR;Hellmanns;1000 gr;2560.48;10.0
779100000955;SKU-10954;ARCOR GALLETITAS DULCES 300 G;Arcor;300 g;1223.46;0.0
779100000956;SKU-10955;TERRABUSI GALLETITAS DE AGUA PACK X3 300G;Terrabusi;Pack x3 300g;2623.33;0.0
779100000957;SKU-10956;HEAD & SHOULDERS SHAMPOO ANTICASPA 750 ML;Head & Shoulders;750 ml;4663.17;10.0
779100000958;SKU-10957;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;1802.96;10.0
779100000959;SKU-10958;REXONA DESODORANTE AEROSOL PACK X2;Rexona;Pack x2;7432.64;10.0
779100000960;SKU-10959;COLGATE CREMA DENTAL TRIPLE ACCION 140 G;Colgate;140 g;1711.29;0.0
779100000961;SKU-10960;COCA-COLA GASEOSA COLA 2250 ML;Coca-Cola;2250 ml;5668.82;5.0
779100000962;SKU-10961;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;4404.69;10.0
779100000963;SKU-10962;QUILMES CERVEZA RUBIA 710 ML;Quilmes;710 ml;2092.95;10.0
779100000964;SKU-10963;LA SERENÍSIMA LECHE ENTERA 1000 CC;La Serenísima;1000 cc;1358.79;5.0
779100000965;SKU-10964;SANCOR LECHE DESCREMADA 1000 CC;Sancor;1000 cc;1399.42;10.0
779100000966;SKU-10965;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;1944.43;10.0
779100000967;SKU-10966;SAN IGNACIO DULCE DE LECHE CLASICO 400 G;San Ignacio;400 g;2634.03;0.0
779100000968;SKU-10967;NATURA ACEITE GIRASOL 900 ML;Natura;900 ml;2437.86;5.0
779100000969;SKU-10968;COCINERO ACEITE MEZCLA 900 ML;Cocinero;900 ml;1738.3;10.0
779100000970;SKU-10969;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1953.62;10.0
779100000971;SKU-10970;MATARAZZO FIDEOS GUISEROS 500 G;Matarazzo;500 g;888.7;10.0
779100000972;SKU-10971;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;844.71;5.0
779100000973;SKU-10972;MAROLIO PURE DE TOMATE 520 G;Marolio;520 g;820.77;5.0
779100000974;SKU-10973;HELLMANNS MAYONESA CLASICA 475 G;Hellmanns;475 g;2846.72;5.0
779100000975;SKU-10974;ARCOR GALLETITAS DULCES 120 G;Arcor;120 g;1059.88;10.0
779100000976;SKU-10975;TERRABUSI GALLETITAS DE AGUA 100 G;Terrabusi;100 g;1014.14;10.0
779100000977;SKU-10976;HEAD & SHOULDERS SHAMPOO ANTICASPA 400 ML;Head & Shoulders;400 ml;4495.32;5.0
779100000978;SKU-10977;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4094.81;5.0
779100000979;SKU-10978;REXONA DESODORANTE AEROSOL 150 ML;Rexona;150 ml;2840.47;10.0
779100000980;SKU-10979;COLGATE CREMA DENTAL TRIPLE ACCION 70 G;Colgate;70 g;1798.99;10.0
779100000981;SKU-10980;COCA-COLA GASEOSA COLA 2250 ML;Coca-Cola;2250 ml;5385.31;0.0
779100000982;SKU-10981;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;4613.19;10.0
779100000983;SKU-10982;QUILMES CERVEZA RUBIA PACK X6;Quilmes;Pack x6;12786.25;0.0
779100000984;SKU-10983;LA SERENÍSIMA LECHE ENTERA 1000 ML;La Serenísima;1000 ml;1326.15;5.0
779100000985;SKU-10984;SANCOR LECHE DESCREMADA 1000 ML;Sancor;1000 ml;1387.58;10.0
779100000986;SKU-10985;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 G;La Serenísima;1000 g;2389.07;0.0
779100000987;SKU-10986;SAN IGNACIO DULCE DE LECHE CLASICO 400 GR;San Ignacio;400 gr;2389.38;5.0
779100000988;SKU-10987;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3315.35;0.0
779100000989;SKU-10988;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2714.14;0.0
779100000990;SKU-10989;GALLO ARROZ LARGO FINO 1000 G;Gallo;1000 g;1903.46;10.0
779100000991;SKU-10990;MATARAZZO FIDEOS GUISEROS 500 GR;Matarazzo;500 gr;851.4;5.0
779100000992;SKU-10991;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;851.2;0.0
779100000993;SKU-10992;MAROLIO PURE DE TOMATE 520 GR;Marolio;520 gr;778.94;5.0
779100000994;SKU-10993;HELLMANNS MAYONESA CLASICA 500 G;Hellmanns;500 g;1625.56;10.0
779100000995;SKU-10994;ARCOR GALLETITAS DULCES 160 G;Arcor;160 g;1256.79;0.0
779100000996;SKU-10995;TERRABUSI GALLETITAS DE AGUA 300 G;Terrabusi;300 g;872.59;10.0
779100000997;SKU-10996;HEAD & SHOULDERS SHAMPOO ANTICASPA 200 ML;Head & Shoulders;200 ml;1915.49;5.0
779100000998;SKU-10997;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;2224.73;0.0
779100000999;SKU-10998;REXONA DESODORANTE AEROSOL 150 CC;Rexona;150 cc;2785.84;10.0
779100001000;SKU-10999;COLGATE CREMA DENTAL TRIPLE ACCION 90 G;Colgate;90 g;2162.52;0.0
779100001001;SKU-11000;COCA-COLA GASEOSA COLA 2.25L;Coca-Cola;2.25L;5392.78;0.0
779100001002;SKU-11001;SPRITE GASEOSA LIMA LIMON 1500 ML;Sprite;1500 ml;3333.59;10.0
779100001003;SKU-11002;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;1997.09;0.0
779100001004;SKU-11003;LA SERENÍSIMA LECHE ENTERA SACHET 1L;La Serenísima;Sachet 1L;1604.97;0.0
779100001005;SKU-11004;SANCOR LECHE DESCREMADA TETRA 1L;Sancor;Tetra 1L;1509.39;10.0
779100001006;SKU-11005;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2362.39;5.0
779100001007;SKU-11006;SAN IGNACIO DULCE DE LECHE CLASICO 1000 GR;San Ignacio;1000 gr;2409.09;10.0
779100001008;SKU-11007;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3077.47;5.0
779100001009;SKU-11008;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2612.04;0.0
779100001010;SKU-11009;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1984.47;0.0
779100001011;SKU-11010;MATARAZZO FIDEOS GUISEROS 1000 GR;Matarazzo;1000 gr;1188.48;5.0
779100001012;SKU-11011;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;743.43;0.0
779100001013;SKU-11012;MAROLIO PURE DE TOMATE TETRA 520G;Marolio;Tetra 520g;823.09;0.0
779100001014;SKU-11013;HELLMANNS MAYONESA CLASICA 950 G;Hellmanns;950 g;2153.2;5.0
779100001015;SKU-11014;ARCOR GALLETITAS DULCES PACK X3;Arcor;Pack x3;3292.14;5.0
779100001016;SKU-11015;TERRABUSI GALLETITAS DE AGUA PACK X3 300G;Terrabusi;Pack x3 300g;2517.15;0.0
779100001017;SKU-11016;HEAD & SHOULDERS SHAMPOO ANTICASPA 750 ML;Head & Shoulders;750 ml;5133.06;0.0
779100001018;SKU-11017;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4520.91;5.0
779100001019;SKU-11018;REXONA DESODORANTE AEROSOL PACK X2;Rexona;Pack x2;7182.47;10.0
779100001020;SKU-11019;COLGATE CREMA DENTAL TRIPLE ACCION 140 G;Colgate;140 g;2141.21;0.0
779100001021;SKU-11020;COCA-COLA GASEOSA COLA 1500 ML;Coca-Cola;1500 ml;3701.41;10.0
779100001022;SKU-11021;SPRITE GASEOSA LIMA LIMON 500 ML;Sprite;500 ml;1791.35;10.0
779100001023;SKU-11022;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2399.65;5.0
779100001024;SKU-11023;LA SERENÍSIMA LECHE ENTERA TETRA 1L;La Serenísima;Tetra 1L;1429.81;0.0
779100001025;SKU-11024;SANCOR LECHE DESCREMADA 1000 CC;Sancor;1000 cc;1453.19;0.0
779100001026;SKU-11025;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 180 G;La Serenísima;180 g;1938.31;10.0
779100001027;SKU-11026;SAN IGNACIO DULCE DE LECHE CLASICO 1000 G;San Ignacio;1000 g;2264.2;0.0
779100001028;SKU-11027;NATURA ACEITE GIRASOL 3 L;Natura;3 l;2461.47;10.0
779100001029;SKU-11028;COCINERO ACEITE MEZCLA 900 ML;Cocinero;900 ml;1718.81;0.0
779100001030;SKU-11029;GALLO ARROZ LARGO FINO 500 G;Gallo;500 g;1112.3;0.0
779100001031;SKU-11030;MATARAZZO FIDEOS GUISEROS 500 G;Matarazzo;500 g;713.59;0.0
779100001032;SKU-11031;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;830.05;5.0
779100001033;SKU-11032;MAROLIO PURE DE TOMATE 520 G;Marolio;520 g;932.49;5.0
779100001034;SKU-11033;HELLMANNS MAYONESA CLASICA 1000 GR;Hellmanns;1000 gr;2837.87;5.0
779100001035;SKU-11034;ARCOR GALLETITAS DULCES 300 G;Arcor;300 g;1171.28;5.0
779100001036;SKU-11035;TERRABUSI GALLETITAS DE AGUA 100 G;Terrabusi;100 g;910.56;10.0
779100001037;SKU-11036;HEAD & SHOULDERS SHAMPOO ANTICASPA 400 ML;Head & Shoulders;400 ml;4596.91;5.0
779100001038;SKU-11037;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;1976.02;10.0
779100001039;SKU-11038;REXONA DESODORANTE AEROSOL 150 ML;Rexona;150 ml;3099.93;5.0
779100001040;SKU-11039;COLGATE CREMA DENTAL TRIPLE ACCION 70 G;Colgate;70 g;1791.21;10.0
779100001041;SKU-11040;COCA-COLA GASEOSA COLA 500 ML;Coca-Cola;500 ml;1675.95;5.0
779100001042;SKU-11041;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;4892.74;5.0
779100001043;SKU-11042;QUILMES CERVEZA RUBIA 473 ML;Quilmes;473 ml;1339.71;0.0
779100001044;SKU-11043;LA SERENÍSIMA LECHE ENTERA 1000 CC;La Serenísima;1000 cc;1282.24;10.0
779100001045;SKU-11044;SANCOR LECHE DESCREMADA 1000 ML;Sancor;1000 ml;1337.04;0.0
779100001046;SKU-11045;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2066.61;5.0
779100001047;SKU-11046;SAN IGNACIO DULCE DE LECHE CLASICO 400 G;San Ignacio;400 g;2372.27;5.0
779100001048;SKU-11047;NATURA ACEITE GIRASOL 900 ML;Natura;900 ml;2352.23;5.0
779100001049;SKU-11048;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2718.11;5.0
779100001050;SKU-11049;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1715.23;5.0
779100001051;SKU-11050;MATARAZZO FIDEOS GUISEROS 500 GR;Matarazzo;500 gr;746.15;0.0
779100001052;SKU-11051;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;702.85;10.0
779100001053;SKU-11052;MAROLIO PURE DE TOMATE 520 GR;Marolio;520 gr;852.12;0.0
779100001054;SKU-11053;HELLMANNS MAYONESA CLASICA 475 G;Hellmanns;475 g;2536.47;0.0
779100001055;SKU-11054;ARCOR GALLETITAS DULCES 120 G;Arcor;120 g;1259.38;10.0
779100001056;SKU-11055;TERRABUSI GALLETITAS DE AGUA 300 G;Terrabusi;300 g;1039.92;0.0
779100001057;SKU-11056;HEAD & SHOULDERS SHAMPOO ANTICASPA 200 ML;Head & Shoulders;200 ml;2023.85;10.0
779100001058;SKU-11057;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4741.6;0.0
779100001059;SKU-11058;REXONA DESODORANTE AEROSOL 150 CC;Rexona;150 cc;3196.11;0.0
779100001060;SKU-11059;COLGATE CREMA DENTAL TRIPLE ACCION 90 G;Colgate;90 g;1951.66;10.0
779100001061;SKU-11060;COCA-COLA GASEOSA COLA 354 ML;Coca-Cola;354 ml;1179.7;5.0
779100001062;SKU-11061;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;5302.92;10.0
779100001063;SKU-11062;QUILMES CERVEZA RUBIA 710 ML;Quilmes;710 ml;2133.71;5.0
779100001064;SKU-11063;LA SERENÍSIMA LECHE ENTERA 1000 ML;La Serenísima;1000 ml;1480.09;0.0
779100001065;SKU-11064;SANCOR LECHE DESCREMADA TETRA 1L;Sancor;Tetra 1L;1542.27;0.0
779100001066;SKU-11065;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 G;La Serenísima;1000 g;1983.44;10.0
779100001067;SKU-11066;SAN IGNACIO DULCE DE LECHE CLASICO 400 GR;San Ignacio;400 gr;2752.41;5.0
779100001068;SKU-11067;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3397.6;5.0
779100001069;SKU-11068;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2244.21;10.0
779100001070;SKU-11069;GALLO ARROZ LARGO FINO 1000 G;Gallo;1000 g;1890.95;0.0
779100001071;SKU-11070;MATARAZZO FIDEOS GUISEROS 1000 GR;Matarazzo;1000 gr;1281.97;5.0
779100001072;SKU-11071;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;799.56;10.0
779100001073;SKU-11072;MAROLIO PURE DE TOMATE TETRA 520G;Marolio;Tetra 520g;842.07;10.0
779100001074;SKU-11073;HELLMANNS MAYONESA CLASICA 500 G;Hellmanns;500 g;1468.08;5.0
779100001075;SKU-11074;ARCOR GALLETITAS DULCES 160 G;Arcor;160 g;1102.19;5.0
779100001076;SKU-11075;TERRABUSI GALLETITAS DE AGUA PACK X3 300G;Terrabusi;Pack x3 300g;2511.84;5.0
779100001077;SKU-11076;HEAD & SHOULDERS SHAMPOO ANTICASPA 750 ML;Head & Shoulders;750 ml;4738.59;5.0
779100001078;SKU-11077;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;2184.72;0.0
779100001079;SKU-11078;REXONA DESODORANTE AEROSOL PACK X2;Rexona;Pack x2;7987.58;10.0
779100001080;SKU-11079;COLGATE CREMA DENTAL TRIPLE ACCION 140 G;Colgate;140 g;1924.0;0.0
779100001081;SKU-11080;COCA-COLA GASEOSA COLA 2250 ML;Coca-Cola;2250 ml;5330.41;10.0
779100001082;SKU-11081;SPRITE GASEOSA LIMA LIMON 1500 ML;Sprite;1500 ml;3191.03;10.0
779100001083;SKU-11082;QUILMES CERVEZA RUBIA PACK X6;Quilmes;Pack x6;10629.02;10.0
779100001084;SKU-11083;LA SERENÍSIMA LECHE ENTERA SACHET 1L;La Serenísima;Sachet 1L;1433.53;10.0
779100001085;SKU-11084;SANCOR LECHE DESCREMADA 1000 CC;Sancor;1000 cc;1358.67;5.0
779100001086;SKU-11085;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2070.97;10.0
779100001087;SKU-11086;SAN IGNACIO DULCE DE LECHE CLASICO 1000 GR;San Ignacio;1000 gr;2287.64;5.0
779100001088;SKU-11087;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;2845.67;10.0
779100001089;SKU-11088;COCINERO ACEITE MEZCLA 900 ML;Cocinero;900 ml;1904.71;0.0
779100001090;SKU-11089;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1695.53;5.0
779100001091;SKU-11090;MATARAZZO FIDEOS GUISEROS 500 G;Matarazzo;500 g;730.23;0.0
779100001092;SKU-11091;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;749.1;5.0
779100001093;SKU-11092;MAROLIO PURE DE TOMATE 520 G;Marolio;520 g;918.24;5.0
779100001094;SKU-11093;HELLMANNS MAYONESA CLASICA 950 G;Hellmanns;950 g;2548.67;0.0
779100001095;SKU-11094;ARCOR GALLETITAS DULCES PACK X3;Arcor;Pack x3;2761.81;10.0
779100001096;SKU-11095;TERRABUSI GALLETITAS DE AGUA 100 G;Terrabusi;100 g;942.92;0.0
779100001097;SKU-11096;HEAD & SHOULDERS SHAMPOO ANTICASPA 400 ML;Head & Shoulders;400 ml;4266.19;10.0
779100001098;SKU-11097;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4134.59;5.0
779100001099;SKU-11098;REXONA DESODORANTE AEROSOL 150 ML;Rexona;150 ml;2876.59;0.0
779100001100;SKU-11099;COLGATE CREMA DENTAL TRIPLE ACCION 70 G;Colgate;70 g;2143.35;5.0
779100001101;SKU-11100;COCA-COLA GASEOSA COLA 2250 ML;Coca-Cola;2250 ml;5629.08;0.0
779100001102;SKU-11101;SPRITE GASEOSA LIMA LIMON 500 ML;Sprite;500 ml;1530.2;0.0
779100001103;SKU-11102;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2378.25;0.0
779100001104;SKU-11103;LA SERENÍSIMA LECHE ENTERA TETRA 1L;La Serenísima;Tetra 1L;1485.37;0.0
779100001105;SKU-11104;SANCOR LECHE DESCREMADA 1000 ML;Sancor;1000 ml;1329.49;0.0
779100001106;SKU-11105;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 180 G;La Serenísima;180 g;1916.81;10.0
779100001107;SKU-11106;SAN IGNACIO DULCE DE LECHE CLASICO 1000 G;San Ignacio;1000 g;2317.52;5.0
779100001108;SKU-11107;NATURA ACEITE GIRASOL 3 L;Natura;3 l;2287.46;5.0
779100001109;SKU-11108;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2662.42;0.0
779100001110;SKU-11109;GALLO ARROZ LARGO FINO 500 G;Gallo;500 g;1155.69;5.0
779100001111;SKU-11110;MATARAZZO FIDEOS GUISEROS 500 GR;Matarazzo;500 gr;807.45;5.0
779100001112;SKU-11111;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;850.43;0.0
779100001113;SKU-11112;MAROLIO PURE DE TOMATE 520 GR;Marolio;520 gr;919.34;0.0
779100001114;SKU-11113;HELLMANNS MAYONESA CLASICA 1000 GR;Hellmanns;1000 gr;2340.73;0.0
779100001115;SKU-11114;ARCOR GALLETITAS DULCES 300 G;Arcor;300 g;1116.22;0.0
779100001116;SKU-11115;TERRABUSI GALLETITAS DE AGUA 300 G;Terrabusi;300 g;911.68;10.0
779100001117;SKU-11116;HEAD & SHOULDERS SHAMPOO ANTICASPA 200 ML;Head & Shoulders;200 ml;2324.86;10.0
779100001118;SKU-11117;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;1963.05;0.0
779100001119;SKU-11118;REXONA DESODORANTE AEROSOL 150 CC;Rexona;150 cc;2970.55;10.0
779100001120;SKU-11119;COLGATE CREMA DENTAL TRIPLE ACCION 90 G;Colgate;90 g;1935.41;10.0
779100001121;SKU-11120;COCA-COLA GASEOSA COLA 2.25L;Coca-Cola;2.25L;5794.15;10.0
779100001122;SKU-11121;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;5521.58;5.0
779100001123;SKU-11122;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2207.88;10.0
779100001124;SKU-11123;LA SERENÍSIMA LECHE ENTERA 1000 CC;La Serenísima;1000 cc;1285.41;0.0
779100001125;SKU-11124;SANCOR LECHE DESCREMADA TETRA 1L;Sancor;Tetra 1L;1346.39;5.0
779100001126;SKU-11125;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2323.08;10.0
779100001127;SKU-11126;SAN IGNACIO DULCE DE LECHE CLASICO 400 G;San Ignacio;400 g;2427.39;0.0
779100001128;SKU-11127;NATURA ACEITE GIRASOL 900 ML;Natura;900 ml;2101.65;5.0
779100001129;SKU-11128;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2710.79;5.0
779100001130;SKU-11129;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1745.65;10.0
779100001131;SKU-11130;MATARAZZO FIDEOS GUISEROS 1000 GR;Matarazzo;1000 gr;1241.74;10.0
779100001132;SKU-11131;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;828.25;5.0
779100001133;SKU-11132;MAROLIO PURE DE TOMATE TETRA 520G;Marolio;Tetra 520g;821.43;5.0
779100001134;SKU-11133;HELLMANNS MAYONESA CLASICA 475 G;Hellmanns;475 g;2821.09;0.0
779100001135;SKU-11134;ARCOR GALLETITAS DULCES 120 G;Arcor;120 g;1211.81;5.0
779100001136;SKU-11135;TERRABUSI GALLETITAS DE AGUA PACK X3 300G;Terrabusi;Pack x3 300g;2319.19;10.0
779100001137;SKU-11136;HEAD & SHOULDERS SHAMPOO ANTICASPA 750 ML;Head & Shoulders;750 ml;4564.87;0.0
779100001138;SKU-11137;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4019.3;5.0
779100001139;SKU-11138;REXONA DESODORANTE AEROSOL PACK X2;Rexona;Pack x2;7552.18;10.0
779100001140;SKU-11139;COLGATE CREMA DENTAL TRIPLE ACCION 140 G;Colgate;140 g;1927.33;5.0
779100001141;SKU-11140;COCA-COLA GASEOSA COLA 1500 ML;Coca-Cola;1500 ml;3665.23;0.0
779100001142;SKU-11141;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;4574.51;0.0
779100001143;SKU-11142;QUILMES CERVEZA RUBIA 473 ML;Quilmes;473 ml;1371.15;5.0
779100001144;SKU-11143;LA SERENÍSIMA LECHE ENTERA 1000 ML;La Serenísima;1000 ml;1486.28;5.0
779100001145;SKU-11144;SANCOR LECHE DESCREMADA 1000 CC;Sancor;1000 cc;1371.72;10.0
779100001146;SKU-11145;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 G;La Serenísima;1000 g;2165.93;0.0
779100001147;SKU-11146;SAN IGNACIO DULCE DE LECHE CLASICO 400 GR;San Ignacio;400 gr;2515.41;5.0
779100001148;SKU-11147;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3524.98;10.0
779100001149;SKU-11148;COCINERO ACEITE MEZCLA 900 ML;Cocinero;900 ml;1943.37;10.0
779100001150;SKU-11149;GALLO ARROZ LARGO FINO 1000 G;Gallo;1000 g;1751.99;5.0
779100001151;SKU-11150;MATARAZZO FIDEOS GUISEROS 500 G;Matarazzo;500 g;778.14;5.0
779100001152;SKU-11151;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;822.68;10.0
779100001153;SKU-11152;MAROLIO PURE DE TOMATE 520 G;Marolio;520 g;926.32;0.0
779100001154;SKU-11153;HELLMANNS MAYONESA CLASICA 500 G;Hellmanns;500 g;1459.17;5.0
779100001155;SKU-11154;ARCOR GALLETITAS DULCES 160 G;Arcor;160 g;1060.52;0.0
779100001156;SKU-11155;TERRABUSI GALLETITAS DE AGUA 100 G;Terrabusi;100 g;917.11;10.0
779100001157;SKU-11156;HEAD & SHOULDERS SHAMPOO ANTICASPA 400 ML;Head & Shoulders;400 ml;5021.34;0.0
779100001158;SKU-11157;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;2104.84;0.0
779100001159;SKU-11158;REXONA DESODORANTE AEROSOL 150 ML;Rexona;150 ml;3213.77;5.0
779100001160;SKU-11159;COLGATE CREMA DENTAL TRIPLE ACCION 70 G;Colgate;70 g;1860.7;5.0
779100001161;SKU-11160;COCA-COLA GASEOSA COLA 500 ML;Coca-Cola;500 ml;1916.62;5.0
779100001162;SKU-11161;SPRITE GASEOSA LIMA LIMON 1500 ML;Sprite;1500 ml;4024.36;10.0
779100001163;SKU-11162;QUILMES CERVEZA RUBIA 710 ML;Quilmes;710 ml;2235.35;10.0
779100001164;SKU-11163;LA SERENÍSIMA LECHE ENTERA SACHET 1L;La Serenísima;Sachet 1L;1528.55;10.0
779100001165;SKU-11164;SANCOR LECHE DESCREMADA 1000 ML;Sancor;1000 ml;1393.61;5.0
779100001166;SKU-11165;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2318.44;0.0
779100001167;SKU-11166;SAN IGNACIO DULCE DE LECHE CLASICO 1000 GR;San Ignacio;1000 gr;2827.27;0.0
779100001168;SKU-11167;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3210.25;10.0
779100001169;SKU-11168;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2337.33;0.0
779100001170;SKU-11169;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1798.88;0.0
779100001171;SKU-11170;MATARAZZO FIDEOS GUISEROS 500 GR;Matarazzo;500 gr;803.43;0.0
779100001172;SKU-11171;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;679.16;10.0
779100001173;SKU-11172;MAROLIO PURE DE TOMATE 520 GR;Marolio;520 gr;867.03;10.0
779100001174;SKU-11173;HELLMANNS MAYONESA CLASICA 950 G;Hellmanns;950 g;2556.26;5.0
779100001175;SKU-11174;ARCOR GALLETITAS DULCES PACK X3;Arcor;Pack x3;2988.8;0.0
779100001176;SKU-11175;TERRABUSI GALLETITAS DE AGUA 300 G;Terrabusi;300 g;1086.38;10.0
779100001177;SKU-11176;HEAD & SHOULDERS SHAMPOO ANTICASPA 200 ML;Head & Shoulders;200 ml;2128.26;5.0
779100001178;SKU-11177;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4832.17;10.0
779100001179;SKU-11178;REXONA DESODORANTE AEROSOL 150 CC;Rexona;150 cc;3136.77;5.0
779100001180;SKU-11179;COLGATE CREMA DENTAL TRIPLE ACCION 90 G;Colgate;90 g;1967.07;5.0
779100001181;SKU-11180;COCA-COLA GASEOSA COLA 354 ML;Coca-Cola;354 ml;1332.52;5.0
779100001182;SKU-11181;SPRITE GASEOSA LIMA LIMON 500 ML;Sprite;500 ml;1772.59;0.0
779100001183;SKU-11182;QUILMES CERVEZA RUBIA PACK X6;Quilmes;Pack x6;12067.69;0.0
779100001184;SKU-11183;LA SERENÍSIMA LECHE ENTERA TETRA 1L;La Serenísima;Tetra 1L;1290.3;0.0
779100001185;SKU-11184;SANCOR LECHE DESCREMADA TETRA 1L;Sancor;Tetra 1L;1323.06;0.0
779100001186;SKU-11185;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 180 G;La Serenísima;180 g;1940.96;0.0
779100001187;SKU-11186;SAN IGNACIO DULCE DE LECHE CLASICO 1000 G;San Ignacio;1000 g;2823.25;0.0
779100001188;SKU-11187;NATURA ACEITE GIRASOL 3 L;Natura;3 l;2222.57;0.0
779100001189;SKU-11188;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2823.05;0.0
779100001190;SKU-11189;GALLO ARROZ LARGO FINO 500 G;Gallo;500 g;1224.67;0.0
